,Accuracy,Precision,Recall,F1-score,ROC AUC
Random Forest,0.973575,0.9782798735794499,0.9687203475886867,0.9734766425494542,0.9968144542893511
CatBoost,0.9684416666666666,0.9696125221106031,0.9672720613940171,0.9684408776886089,0.9953011606425419
XGBoost,0.9604916666666666,0.9603161397670549,0.960779743969636,0.9605478859292176,0.9934440531809645
LightGBM,0.9464833333333333,0.9449023933126566,0.9483943999600473,0.946645176298561,0.9888293501913206
AdaBoost,0.8652666666666666,0.8554380738030085,0.8794759534550781,0.8672904867438234,0.9426111370007615
Logistic Regression,0.8514416666666667,0.8324205225055084,0.8804914184881224,0.8557814433990503,0.926538578661382
